revision_id,property_id,value_id,property_label,entity_label,old_value,old_value_label,new_value,new_value_label,label,old_value_description,new_value_description,llm_label
221073531,31,Q384765$EDB56065-0C6F-4E3B-BD65-AA82E0AF18CA,instance of,censorship of images in the Soviet Union,"""Q5""",human,"""Q543""",censorship,property_value_update,"any member of Homo sapiens, unique extant species of the genus Homo",practice of suppressing speech or other public communication which is illegal or against social norms.,property_value_update
7476639,17,q194203$EDD55F5A-2CB9-4326-A510-4C21025AC1A2,country,arrondissement of France,"""Q2084927""",France Pavilion,"""Q142""",France,property_value_update,pavillion of World Showcase in Epcot,"country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)",property_value_update
706454146,495,Q51482$BFE6A9DE-937D-4731-AEAC-2C7439F3147A,country of origin,Red Bull,"""Q869""",Thailand,"""Q40""",Austria,property_value_update,country in Southeast Asia,country in Central Europe,property_value_update
6064764,30,q32$B5C031D1-D90B-405E-999F-4C9A5B879AD5,continent,Luxembourg,"""Q3918638""","Hotel Europe, Minsk","""Q46""",Europe,property_value_update,"building in Minsk, Belarus",continent in the Northern Hemisphere,property_value_update
1972270345,150,Q34800$76b3cec5-4a8f-a8d3-c5b1-b8bcb09cd7f3,contains the administrative territorial entity,Xinjiang,"""Q18651998""",Kokdala,"""Q10930847""",Shuanghe,property_value_update,"county-level & sub-prefectural city in Xinjiang, People's Republic of China","county-level city in Xinjiang, China",property_value_update
1604396488,19,q435124$9A5B4371-1109-486E-9F25-E6E54A07653B,place of birth,Alexander Godunov,"""Q7792""",Sakhalin,"""Q7859""",Yuzhno-Sakhalinsk,property_value_update,large Russian island in the North Pacific Ocean,city in far-eastern Russia,property_value_update
23991784,131,q258559$BDEC5D61-5B94-4F0B-AE96-7BC85B157F84,located in the administrative territorial entity,Alaska Peninsula National Wildlife Refuge,"""Q1133002""",SS Alaska,"""Q797""",Alaska,property_value_update,British passenger liner,state of the United States of America,property_value_update
1783224037,1889,Q106130$2EE02125-9B3F-4717-B9D4-7BDFEEE52550,different from,Adolf Wolff,"""Q58369852""","Adolf Wolff: “Poet, Sculptor and Revolutionist, but Mostly Revolutionist”","""Q60035417""",Adolf Wolff,property_value_update,,visual artist,property_value_update
517336286,108,Q271421$A3CE3B03-93A7-40F1-9D5A-4768BFFB7CB2,employer,Torsten Nils Wiesel,"""Q19372""",Carrù,"""Q193727""",Johns Hopkins University,property_value_update,commune in Italy,"private university in Baltimore, Maryland, USA",property_value_update
1294011941,101,Q76606$99FD920D-0EB5-4928-A966-2BD814F09490,field of work,Carl Bosch,"""Q2329""",chemistry,"""Q395""",mathematics,property_value_update,"branch of physical science concerned with the composition, structure and properties of matter",field of study,property_value_update
663811805,551,Q62118$406ba4fa-4dcf-09a4-95df-96a1939f466b,residence,Robert Hermann Schomburgk,"""Q650667""",Guyanas,"""Q918126""",British Guiana,property_value_update,region in northeastern South America,British posession in the Guianas region between 1814–1966,property_value_update
1733134871,509,Q44272$35CC9EB5-3FE1-400B-BB55-B68FE34FA09B,cause of death,Michel Foucault,"""Q12199""",AIDS,"""Q5949512""",Juan Francisco Borges,property_value_update,spectrum of conditions caused by HIV infection,Argentinian military personnel,property_value_update
2013838957,170,Q164749$386630a9-4814-5fed-b320-4f06995afff5,creator,100 Mosques Scheme,"""Q2039886""",Ahmadiyya Muslim Community,"""Q171764""",Ahmadiyya,property_value_update,denomination in Islam,Islamic revival movement originating in the Indian subcontinent,property_value_update
1930240666,81,Q319542$c02ecdea-401f-a9e2-7cc1-8df9b05beed5,connecting line,Fürth Central Station,"""Q115035376""",Fürth (Bay) Hbf–Würzburg Hbf railway,"""Q115793142""",Nuremberg Hbf–Fürth (Bay) Hbf railway,property_value_update,railway line in Germany,"railway line in Middle Franconia, Germany",property_value_update
1157442340,417,q42565$A216DB0E-EDA3-414A-9EF5-9AF23832EA23,patron saint,Oggiono,"""Q364830""",Sant'Eufemia,"""Q240610""",Euphemia,property_value_update,Wikimedia disambiguation page,Christian virgin and martyr saint,property_value_update
222512788,31,Q310246$2bbb33b0-4402-fdc6-bde0-081c34c3e68e,instance of,Me2day,"""Q2715623""",social network,"""Q3220391""",social networking service,property_value_update,theoretical concept in sociology,online platform that facilitates the building of social relations,refinement
