row_id,entity_label,property_label,old_value,old_value_label,new_value,new_value_label,old_value_description,new_value_description,annotator,label,Skip,Notes
538037936_19_q463534$E8B66C5F-3E1D-4E2A-96F7-39AB00CDF62F,Beatrice of Silva,place of birth,"""Q5823""",Ceuta,"""Q995297""",Campo Maior,autonomous city of Spain in North Africa,municipality of Portugal,lisa,property_value_update,,
1464404226_53_Q18620898$36f96dbc-4241-bedf-9323-389573b1548a,Ernst de Maizière,family,"""Q299373""",Maizières,"""Q1885983""",Maizière,Wikimedia disambiguation page,family,lisa,property_value_update,,
1120427241_40_Q75908062$DAC2D5B4-D5F2-424E-A787-194CDBC74934,Anna Hodson,child,"""Q75908067""","Admiral of the Fleet Sir Frederick Charles Doveton Sturdee, 1st Bt.","""Q1453116""",Doveton Sturdee,(1859-1925),Royal Navy admiral of the fleet (1859–1925),lisa,property_value_update,,
2055224236_22_Q9032251$66d8f61d-4eaf-fa78-7bb8-37d15c34052f,Michael Calfan,father,"""Q3085966""",François Valéry,"""Q1166840""",François,French singer,male given name,lisa,unrefinement,,
492496742_195_Q3612419$8D66AF9C-BD95-4179-984F-BE1AD2DD3189,Allegory of Virtues,collection,"""Q3044753""",Department of Prints and Drawings of the Louvre,"""Q3044768""",Department of Paintings of the Louvre,curatorial department of the Louvre,curatorial department of the Louvre in charge of most of the European paintings collection,lisa,refinement,,Although the label got shorter I rated according to the description; I assume the model also receives the description? Could also be an update
1279269928_800_Q254$3D922C66-4A57-45E3-930B-D121F16E9799,Wolfgang Amadeus Mozart,notable work,"""Q12025""",Eine kleine Nachtmusik,"""Q5064""",The Magic Flute,composition by Wolfgang Amadeus Mozart,1791 opera by Wolfgang Amadeus Mozart,lisa,property_value_update,,
141417830_910_Q3044612$2030c3a6-434d-180c-7f4a-c7be847b874c,Bône Department,topic's main category,"""Q3044612""",Bône Department,"""Q17284849""",Category:Bône Department,former French department in Algeria (1955-1962),Wikimedia category,lisa,property_value_update,,
5817014_19_q110271$3ADC18B0-4C9C-4619-A835-EC871C48B037,Fritz Behrendt,place of birth,"""Q689046""",German cruiser Königsberg,"""Q4120832""",Königsberg,1927 Königsberg-class cruiser,"historic capital of East Prussia, since 1945 Russian territory",lisa,property_value_update,,
6767237_19_q23342$8BBABED7-AF73-4C55-A849-0D860640ADE5,Edmund Barton,place of birth,"""Q3108634""",Glebe Dirty Reds,"""Q2296779""",Glebe,Australian rugby league football club,"suburb of Sydney, New South Wales, Australia",lisa,property_value_update,,
1219885612_195_Q84711565$A9F5EA9E-0A84-44D6-A04A-F65A076280EF,Revanta,collection,"""Q84707193""",Long Archaeology Gallery,"""Q1364900""",Indian Museum,,museum in India,lisa,property_value_update,,
